Ticker,Nama,Region,Harga,Fair Value,MoS (%),Status Valuasi,P/E,P/B,ROE (%),Div Yield (%),RSI (14),Tren (vs MA200),F-Score
BBCA.JK,Bank Central Asia Tbk,Indonesia,6300.0,8834.02,28.68,Undervalued (Diskon),13.35,2.86,21.82,605.0,29.79,Downtrend (Bearish),6
BBRI.JK,Bank Rakyat Indonesia (Persero),Indonesia,3190.0,794.56,-301.48,Overvalued (Mahal),7.84,1.49,18.99,1310.0,32.26,Downtrend (Bearish),5
BMRI.JK,Bank Mandiri (Persero) Tbk,Indonesia,4190.0,30840.85,86.41,Undervalued (Diskon),6.28,1.37,22.38,1296.0,35.1,Downtrend (Bearish),6
ASII.JK,Astra International Tbk,Indonesia,4750.0,9873.5,51.89,Undervalued (Diskon),6.42,0.82,11.98,821.0,29.17,Downtrend (Bearish),3
TLKM.JK,Telkom Indonesia (Persero) Tbk.,Indonesia,2440.0,5585.57,56.32,Undervalued (Diskon),13.68,1.79,17.68,915.0,33.33,Downtrend (Bearish),3
ICBP.JK,Indofood CBP Sukses Makmur Tbk.,Indonesia,6875.0,10503.61,34.55,Undervalued (Diskon),10.86,1.52,12.55,385.0,29.17,Downtrend (Bearish),3
UNTR.JK,United Tractors Tbk,Indonesia,24400.0,54002.13,54.82,Undervalued (Diskon),11.54,0.91,7.44,898.0,39.02,Downtrend (Bearish),3
ADRO.JK,Alamtri Resources Indonesia Tbk,Indonesia,2600.0,-,-,Tidak Tersedia,7.25,16250.0,12.34,910.0,26.67,Uptrend (Bullish),2
AAPL,Apple Inc.,US,,97.87,-,Tidak Tersedia,38.6,45.79,148.75,32.0,66.16,Downtrend (Bearish),5
MSFT,Microsoft Corporation,US,,130.47,-,Tidak Tersedia,28.08,8.4,34.04,79.0,50.71,Downtrend (Bearish),5
GOOGL,Alphabet Inc.,US,,180.6,-,Tidak Tersedia,16.93,6.64,48.68,25.0,62.26,Downtrend (Bearish),5
AMZN,"Amazon.com, Inc.",US,,10.32,-,Tidak Tersedia,20.07,4.87,30.56,0.0,50.0,Downtrend (Bearish),4
NVDA,NVIDIA Corporation,US,,57.9,-,Tidak Tersedia,28.47,23.78,117.21,44.0,55.48,Downtrend (Bearish),4
META,"Meta Platforms, Inc.",US,,302.4,-,Tidak Tersedia,28.06,7.26,29.85,29.0,84.05,Downtrend (Bearish),4
BRK-B,Berkshire Hathaway Inc. New,US,,257.21,-,Tidak Tersedia,12.75,0.0,12.12,0.0,49.61,Downtrend (Bearish),4
TSLA,"Tesla, Inc.",US,,22.78,-,Tidak Tersedia,348.73,17.28,4.67,0.0,61.25,Downtrend (Bearish),5
